level,site_id,site_short_name,county,date,hour,n_samples,NRMSE,MAPE(%)
city_hourly,全市,全市,,,6,1241,28.6863,134.67
city_hourly,全市,全市,,,7,4668,13.5147,107.79
city_hourly,全市,全市,,,8,6331,12.7653,90.99
city_hourly,全市,全市,,,9,6388,16.9884,99.74
city_hourly,全市,全市,,,10,6403,21.1426,106.13
city_hourly,全市,全市,,,11,6414,23.8021,109.12
city_hourly,全市,全市,,,12,6421,24.5878,112.58
city_hourly,全市,全市,,,13,6419,23.8054,116.61
city_hourly,全市,全市,,,14,6419,20.4035,109.87
city_hourly,全市,全市,,,15,6415,15.8773,90.53
city_hourly,全市,全市,,,16,6341,11.9896,96.38
city_hourly,全市,全市,,,17,3480,17.0568,104.5
city_hourly,全市,全市,,,18,1255,26.402,117.19
city_hourly,全市,全市,,,19,693,33.9381,100.0
site_hourly,S002,华筑泰宝光伏,连云区,,6,54,26.8663,99.4
site_hourly,S002,华筑泰宝光伏,连云区,,7,113,17.5943,80.62
site_hourly,S002,华筑泰宝光伏,连云区,,8,121,14.3482,57.69
site_hourly,S002,华筑泰宝光伏,连云区,,9,121,12.0005,59.99
site_hourly,S002,华筑泰宝光伏,连云区,,10,121,12.9839,76.15
site_hourly,S002,华筑泰宝光伏,连云区,,11,121,14.6539,60.41
site_hourly,S002,华筑泰宝光伏,连云区,,12,122,16.8723,76.65
site_hourly,S002,华筑泰宝光伏,连云区,,13,122,16.4716,74.99
site_hourly,S002,华筑泰宝光伏,连云区,,14,122,13.2689,66.82
site_hourly,S002,华筑泰宝光伏,连云区,,15,122,12.1068,55.3
site_hourly,S002,华筑泰宝光伏,连云区,,16,122,14.225,81.46
site_hourly,S002,华筑泰宝光伏,连云区,,17,84,20.6284,83.12
site_hourly,S002,华筑泰宝光伏,连云区,,18,35,21.7851,99.16
site_hourly,S002,华筑泰宝光伏,连云区,,19,35,21.8621,100.0
site_hourly,S004,旭樱东堡光伏,连云区,,6,4,0.8787,80.42
site_hourly,S004,旭樱东堡光伏,连云区,,7,65,2.8414,102.72
site_hourly,S004,旭樱东堡光伏,连云区,,8,119,5.365,142.59
site_hourly,S004,旭樱东堡光伏,连云区,,9,121,9.0228,155.23
site_hourly,S004,旭樱东堡光伏,连云区,,10,119,12.1387,116.35
site_hourly,S004,旭樱东堡光伏,连云区,,11,122,12.7346,85.67
site_hourly,S004,旭樱东堡光伏,连云区,,12,121,14.8895,101.95
site_hourly,S004,旭樱东堡光伏,连云区,,13,122,14.9522,103.56
site_hourly,S004,旭樱东堡光伏,连云区,,14,122,13.5568,143.96
site_hourly,S004,旭樱东堡光伏,连云区,,15,120,9.4563,132.66
site_hourly,S004,旭樱东堡光伏,连云区,,16,111,5.7846,131.15
site_hourly,S004,旭樱东堡光伏,连云区,,17,35,4.4946,79.67
site_hourly,S004,旭樱东堡光伏,连云区,,18,3,1.0599,63.91
site_hourly,S007,林洋朝阳光伏,连云区,,6,13,0.902,80.92
site_hourly,S007,林洋朝阳光伏,连云区,,7,96,3.501,281.0
site_hourly,S007,林洋朝阳光伏,连云区,,8,120,8.3284,117.02
site_hourly,S007,林洋朝阳光伏,连云区,,9,122,12.3431,116.13
site_hourly,S007,林洋朝阳光伏,连云区,,10,122,13.2858,83.93
site_hourly,S007,林洋朝阳光伏,连云区,,11,122,14.7865,67.29
site_hourly,S007,林洋朝阳光伏,连云区,,12,122,13.3138,54.79
site_hourly,S007,林洋朝阳光伏,连云区,,13,122,15.2729,72.15
site_hourly,S007,林洋朝阳光伏,连云区,,14,122,11.1951,65.94
site_hourly,S007,林洋朝阳光伏,连云区,,15,122,8.4007,63.73
site_hourly,S007,林洋朝阳光伏,连云区,,16,122,3.8569,89.4
site_hourly,S007,林洋朝阳光伏,连云区,,17,59,1.9648,53.84
site_hourly,S007,林洋朝阳光伏,连云区,,18,12,0.8096,71.13
site_hourly,S008,协鑫盛昌光伏,灌云县,,6,19,1.0707,128.2
site_hourly,S008,协鑫盛昌光伏,灌云县,,7,105,3.8635,69.71
site_hourly,S008,协鑫盛昌光伏,灌云县,,8,122,7.4624,73.39
site_hourly,S008,协鑫盛昌光伏,灌云县,,9,121,10.676,39.99
site_hourly,S008,协鑫盛昌光伏,灌云县,,10,122,14.9452,58.57
site_hourly,S008,协鑫盛昌光伏,灌云县,,11,122,17.0904,42.8
site_hourly,S008,协鑫盛昌光伏,灌云县,,12,122,16.1559,46.29
