hour,rows,V2_site_nrmse_mean_pct,final_site_nrmse_mean_pct,V2_city_nrmse_pct,final_city_nrmse_pct,V2_nrmse_score,final_nrmse_score,V3_nrmse_score
6,1241,3.46,5.81,2.994,13.378,3.3222,8.0771,8.0771
7,4668,5.63,5.12,3.805,3.294,5.0852,4.5726,4.5726
8,6331,8.39,7.26,4.78,1.293,7.3038,5.4677,5.4677
9,6388,11.86,10.68,4.026,0.199,9.5091,7.5354,7.5354
10,6403,14.75,13.29,3.601,2.674,11.4023,10.1044,10.1044
11,6414,16.44,14.68,4.199,2.043,12.7649,10.8917,10.8917
12,6421,16.99,15.36,4.0,2.328,13.0939,11.4523,11.4523
13,6419,16.77,15.31,3.408,2.555,12.7581,11.4851,11.4851
14,6419,14.68,13.51,3.624,2.504,11.3604,10.2074,10.2074
15,6415,10.59,9.99,3.28,0.448,8.3955,7.1242,7.1242
16,6341,6.82,6.7,2.512,0.459,5.53,4.8289,4.8289
17,3480,4.39,5.43,2.845,5.142,3.9249,5.3426,5.3426
18,1255,3.2,5.34,2.629,11.615,3.0318,7.2235,7.2235
19,693,2.83,13.53,2.75,20.141,2.8041,15.5153,15.5153
