小时,样本数,修正前站点平均NRMSE(%),最终站点平均NRMSE(%),修正前城市NRMSE(%),最终城市NRMSE(%),修正前综合NRMSE得分,最终综合NRMSE得分,综合得分变化,是否改善
6,1241,3.46,5.81,2.994,13.378,3.3222,8.0771,4.754899999999999,否
7,4668,5.63,5.12,3.805,3.294,5.0852,4.5726,-0.5126,是
8,6331,8.39,7.26,4.78,1.293,7.3038,5.4677,-1.8361,是
9,6388,11.86,10.68,4.026,0.199,9.5091,7.5354,-1.9737,是
10,6403,14.75,13.43,3.601,0.947,11.4023,9.6818,-1.7204999999999995,是
11,6414,16.44,14.93,4.199,0.537,12.7649,10.6119,-2.1530000000000005,是
12,6421,16.99,15.54,4.0,0.919,13.0939,11.1544,-1.939499999999999,是
13,6419,16.77,15.51,3.408,1.412,12.7581,11.2786,-1.4794999999999998,是
14,6419,14.68,13.6,3.624,1.079,11.3604,9.8425,-1.517900000000001,是
15,6415,10.59,9.99,3.28,0.448,8.3955,7.1242,-1.2713,是
16,6341,6.82,6.7,2.512,0.459,5.53,4.8289,-0.7011000000000003,是
17,3480,4.39,5.43,2.845,5.142,3.9249,5.3426,1.4177,否
18,1255,3.2,5.34,2.629,11.615,3.0318,7.2235,4.191699999999999,否
19,693,2.83,13.53,2.75,20.141,2.8041,15.5153,12.7112,否
